Time (seconds),time_ms,value,label
118.68,117477,0,medium
118.79,117581,0,medium
118.89,117690,0,medium
119.00,117797,0,medium
119.11,117901,0,medium
119.21,118005,0,medium
119.33,118130,0,medium
119.44,118237,0,medium
119.55,118341,0,medium
119.65,118445,0,medium
119.75,118549,0,medium
119.86,118653,0,medium
119.96,118758,0,medium
120.07,118865,0,medium
120.17,118969,0,medium
120.28,119073,0,medium
120.38,119177,0,medium
120.61,119405,0,medium
120.71,119509,0,medium
120.82,119613,0,medium
120.92,119717,0,medium
121.03,119821,0,medium
121.13,119929,0,medium
121.24,120037,0,medium
121.35,120141,0,medium
121.45,120245,0,medium
121.55,120349,0,medium
121.66,120454,0,medium
121.79,120585,0,medium
121.89,120689,0,medium
122.00,120793,0,medium
122.10,120897,0,medium
122.21,121001,0,medium
122.31,121106,0,medium
122.42,121213,0,medium
122.52,121318,0,medium
122.63,121425,0,medium
122.73,121529,0,medium
122.84,121633,0,medium
122.97,121761,0,medium
123.07,121865,0,medium
123.17,121969,0,medium
123.28,122073,66,medium
123.38,122177,64,medium
123.49,122282,58,medium
123.59,122389,46,medium
123.70,122493,0,medium
123.80,122597,0,medium
123.91,122701,43,medium
124.01,122809,24,medium
124.14,122937,0,medium
124.25,123041,0,medium
124.35,123145,61,medium
124.45,123249,23,medium
124.56,123354,45,medium
124.67,123461,85,medium
124.77,123565,19,medium
124.87,123669,4,medium
124.98,123773,33,medium
125.08,123877,73,medium
125.19,123986,43,medium
125.32,124113,39,medium
125.42,124217,0,medium
125.53,124321,62,medium
125.63,124425,65,medium
125.73,124529,66,medium
125.84,124633,13,medium
125.94,124737,0,medium
126.05,124841,39,medium
126.15,124945,63,medium
126.25,125049,75,medium
126.36,125154,32,medium
126.49,125281,37,medium
126.59,125385,49,medium
126.69,125489,60,medium
126.80,125593,47,medium
126.91,125702,43,medium
127.01,125809,4,medium
127.12,125913,63,medium
127.22,126018,95,medium
127.33,126125,56,medium
127.43,126229,52,medium
127.54,126338,51,medium
127.67,126461,0,medium
127.77,126565,40,medium
127.87,126669,31,medium
127.98,126773,1,medium
128.09,126882,33,medium
128.19,126989,44,medium
128.30,127093,55,medium
128.40,127197,15,medium
128.51,127301,0,medium
128.61,127405,0,medium
128.74,127533,40,medium
128.84,127637,0,medium
128.95,127741,0,medium
129.05,127845,0,medium
129.15,127950,0,medium
129.26,128057,0,medium
129.37,128161,0,medium
129.47,128265,0,medium
129.57,128369,0,medium
129.68,128473,0,medium
129.79,128582,0,medium
129.91,128709,0,medium
130.02,128813,0,medium
130.12,128917,0,medium
130.23,129021,0,medium
130.33,129125,0,medium
130.43,129229,0,medium
130.54,129333,0,medium
130.64,129437,0,medium
130.75,129541,0,medium
130.85,129645,7,medium
130.95,129749,0,medium
131.06,129853,24,medium
131.19,129981,32,medium
131.29,130085,0,medium
131.39,130189,15,medium
131.50,130298,0,medium
131.61,130405,58,medium
131.71,130509,1,medium
131.82,130613,0,medium
131.92,130717,0,medium
132.03,130826,0,medium
132.14,130933,0,medium
132.24,131037,0,medium
132.37,131162,0,medium
132.47,131270,0,medium
132.58,131377,0,medium
132.69,131481,0,medium
132.79,131586,0,medium
132.90,131693,0,medium
133.00,131797,0,medium
133.11,131901,0,medium
133.21,132005,0,medium
133.31,132109,4,medium
133.42,132213,4,medium
133.54,132337,0,medium
133.65,132441,0,medium
133.75,132546,0,medium
133.86,132653,31,medium
133.96,132757,0,medium
134.07,132861,0,medium
134.17,132965,0,medium
134.28,133074,0,medium
134.39,133181,0,medium
134.49,133285,0,medium
134.59,133389,0,medium
134.72,133513,0,medium
134.82,133617,0,medium
134.93,133721,0,medium
135.03,133825,0,medium
135.13,133929,0,medium
135.24,134033,0,medium
135.34,134137,1,medium
135.45,134241,0,medium
135.55,134346,0,medium
135.66,134453,0,medium
135.76,134558,0,medium
135.89,134685,0,medium
135.99,134789,0,medium
136.10,134893,0,medium
136.20,134997,0,medium
136.31,135101,0,medium
136.41,135205,0,medium
136.51,135309,21,medium
136.62,135413,79,medium
136.72,135517,74,medium
136.83,135621,48,medium
136.93,135725,60,medium
137.05,135849,78,medium
137.16,135953,63,medium
137.26,136057,48,medium
137.37,136161,0,medium
137.47,136265,37,medium
137.57,136369,99,medium
137.68,136477,50,medium
137.79,136582,59,medium
137.89,136689,57,medium
138.00,136793,48,medium
138.10,136897,60,medium
138.23,137021,0,medium
138.33,137130,58,medium
138.44,137237,15,medium
138.55,137341,0,medium
138.65,137446,0,medium
138.76,137553,0,medium
138.86,137657,0,medium
138.97,137761,0,medium
139.07,137865,0,medium
139.17,137969,0,medium
139.28,138073,0,medium
139.52,138314,0,medium
139.63,138421,68,medium
139.73,138529,51,medium
139.84,138633,0,medium
139.94,138737,1,medium
140.05,138846,52,medium
140.16,138953,15,medium
140.26,139057,107,medium
140.37,139161,106,medium
140.47,139265,79,medium
140.60,139394,0,medium
140.71,139501,0,medium
140.81,139605,23,medium
140.91,139709,77,medium
141.02,139813,123,medium
141.12,139917,32,medium
141.23,140022,52,medium
